,date,day,filename,flag,id,keywords,link,month,place,publisher,year
485,2018/05/26,26,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-05-26T03:38:16+05:30->106489.txt,0,106489,[],http://timesofindia.indiatimes.com//city/ahmedabad/school-refuses-to-admit-students-under-rte/articleshow/64325000.cms,05,ahmedabad,TOI,2018
486,2018/04/06,06,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-04-06T07:42:22+05:30->69790.txt,0,69790,[],http://timesofindia.indiatimes.com//city/patna/tej-pratap-to-get-hitched-on-may-12/articleshow/63632772.cms,04,patna,TOI,2018
487,2017/05/19,19,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-05-19T14:01:25+05:30->212456.txt,0,212456,[],http://timesofindia.indiatimes.com//india/three-years-of-modi-sarkar-riding-on-pms-popularity-bjp-is-in-an-expansive-mood/articleshow/58692292.cms,05,NA,TOI,2017
488,2017/03/16,16,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-03-16T09:28:23+05:30->167737.txt,0,167737,[],http://timesofindia.indiatimes.com//city/kolkata/darjeeling-mail-likely-to-change-route-by-year-end/articleshow/57661274.cms,03,kolkata,TOI,2017
489,2017/05/18,18,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-05-18T08:01:37+05:30->213794.txt,0,213794,[],http://timesofindia.indiatimes.com//city/hyderabad/farmers-in-handcuffs-dharna-chowk-unrest-kcr-slams-cops/articleshow/58726616.cms,05,hyderabad,TOI,2017
490,2017/01/24,24,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-01-24T13:57:51+05:30->129203.txt,0,129203,[],http://timesofindia.indiatimes.com//india/indian-girls-account-of-anti-trump-rally/articleshow/56716803.cms,01,NA,TOI,2017
491,2017/04/30,30,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-04-30T11:46:00+05:30->200407.txt,0,200407,[],http://timesofindia.indiatimes.com//city/mumbai/flat-buyers-wont-lose-i-t-sops-by-adding-kin-name/articleshow/58439286.cms,04,mumbai,TOI,2017
492,2017/05/07,07,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-05-07T08:41:57+05:30->205738.txt,0,205738,[],http://timesofindia.indiatimes.com//city/pune/nashik-phata-chowk-to-go-signal-free-by-june/articleshow/58555062.cms,05,NA,TOI,2017
493,2017/07/26,26,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-07-26T09:29:15+05:30->264068.txt,0,264068,[],http://timesofindia.indiatimes.com//city/bhopal/42-city-school-buses-found-violating-cctv-order/articleshow/59763130.cms,07,bhopal,TOI,2017
494,2017/03/25,25,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-03-25T13:16:51+05:30->174084.txt,0,174084,[],http://timesofindia.indiatimes.com//city/surat/ma-student-attempts-suicide-in-veer-narmad-south-gujarat-university-hostel/articleshow/57819405.cms,03,surat,TOI,2017
495,2018/03/03,03,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-03-03T10:26:16+05:30->44973.txt,0,44973,[],http://timesofindia.indiatimes.com//city/mysuru/sc-has-helped-propagate-ideals-of-constitution/articleshow/63140877.cms,03,mysuru,TOI,2018
